##卡牌表																																						
##[SC]卡牌编号	[C]卡牌名称	[C]小卡牌图片	[C]大卡牌图片	[C]职业图标	[C]职业底框	[SC]星级	[SC]职业	[C]小卡牌边框	[C]大卡牌边框	[C]职业图标(按钮）	[C]获得来源	[SC]所需领导力	[SC]升级经验类型	[SC]等级上限	[SC]生命基数	[SC]生命系数A	[SC]生命系数B	[SC]基础攻击值	[SC]攻击系数A	[SC]攻击系数B	[SC]高级技能编号	[SC]被动技能编号	[SC]队长技能编号	[SC]合成经验基数	[SC]出售价格基数	[S]暴击值	[S]命中值	[S]闪避值	[S]物攻修正	[S]法攻修正	[S]治疗修正	[S]所受物伤修正	[S]所受法伤修正	[S]所受治疗修正	[S]仇恨修正	[S]普通技能编号	[S]暴击伤害修正	[C]强化等级
int	string	string	string	string	string	int	int	string	string	string	string	int	int	int	int	float	float	int	float	float	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	string	int	int
261	控制者	littlecard_0261.png	bigcard_0261.png	icon_occupation_warrior_big.png	icon_occupation_base3.png	4	1	littlecard_frame_class3.png	bigcard_frame_class3.png	icon_occupation_warrior_button.png	黑下、符石抽奖	11	2	60	1936	1	105	605	1	33	18	11	-1	400	2500	900	8500	0	500	0	0	-500	0	0	0	1	0	0
262	控制者＋	littlecard_0261.png	bigcard_0261.png	icon_occupation_warrior_big.png	icon_occupation_base_elite.png	4	1	littlecard_frame_class3_elite.png	bigcard_frame_class3_elite.png	icon_occupation_warrior_button.png	英雄进化	14	2	60	2323	1	126	726	1	39.6	58	11	-1	400	2500	900	8500	0	500	0	0	-500	0	0	0	1	0	0
263	狼后	littlecard_0263.png	bigcard_0263.png	icon_occupation_rogue_big.png	icon_occupation_base3.png	4	5	littlecard_frame_class3.png	bigcard_frame_class3.png	icon_occupation_rogue_button.png	黑下、符石抽奖	11	2	60	1161	1	63	847	1	46	10	51	-1	400	2500	1400	8500	400	0	0	0	0	0	0	0	1	5000	0
264	狼后＋	littlecard_0263.png	bigcard_0263.png	icon_occupation_rogue_big.png	icon_occupation_base_elite.png	4	5	littlecard_frame_class3_elite.png	bigcard_frame_class3_elite.png	icon_occupation_rogue_button.png	英雄进化	14	2	60	1393	1	75.6	1016	1	55.2	50	51	-1	400	2500	1400	8500	400	0	0	0	0	0	0	0	1	5000	0
265	奴役者	littlecard_0265.png	bigcard_0265.png	icon_occupation_shaman_big.png	icon_occupation_base3.png	4	3	littlecard_frame_class3.png	bigcard_frame_class3.png	icon_occupation_shaman_button.png	黑下、符石抽奖	11	2	60	1355	1	73	786	1	42	23	31	-1	400	2500	1000	9300	0	0	0	0	0	0	0	0	7	0	0
266	奴役者＋	littlecard_0265.png	bigcard_0265.png	icon_occupation_shaman_big.png	icon_occupation_base_elite.png	4	3	littlecard_frame_class3_elite.png	bigcard_frame_class3_elite.png	icon_occupation_shaman_button.png	英雄进化	14	2	60	1626	1	87.6	943	1	50.4	63	31	-1	400	2500	1000	9300	0	0	0	0	0	0	0	0	7	0	0
267	萨拉拉克	littlecard_0267.png	bigcard_0267.png	icon_occupation_warrior_big.png	icon_occupation_base4.png	5	1	littlecard_frame_class4.png	bigcard_frame_class4.png	icon_occupation_warrior_button.png	黑下、符石抽奖	18	2	75	4851	1	233.1	486	1	24.3	11	2	-1	600	5000	200	8500	0	0	0	0	-3000	0	4000	1000	1	0	0
268	萨拉拉克＋	littlecard_0267.png	bigcard_0267.png	icon_occupation_warrior_big.png	icon_occupation_base_elite.png	5	1	littlecard_frame_class4_elite.png	bigcard_frame_class4_elite.png	icon_occupation_warrior_button.png	英雄进化	22	2	75	5930	1	284.9	594	1	29.7	51	2	-1	600	5000	200	8500	0	0	0	0	-3000	0	4000	1000	1	0	0
269	憎恶	littlecard_0269.png	bigcard_0269.png	icon_occupation_warrior_big.png	icon_occupation_base2.png	3	1	littlecard_frame_class2.png	bigcard_frame_class2.png	icon_occupation_warrior_button.png	STSM	6	1	30	1512	1	72	157	1	7	11	0	-1	200	1200	200	8500	0	0	0	0	-900	0	2000	0	1	0	0
270	安娜丝美丽	littlecard_0270.png	bigcard_0270.png	icon_occupation_warlock_big.png	icon_occupation_base3.png	4	9	littlecard_frame_class3.png	bigcard_frame_class3.png	icon_occupation_warlock_button.png	STSM、符石抽奖	11	2	60	1277	1	69.3	931	1	50.6	15	101	-1	400	2500	200	9300	0	0	800	0	0	0	0	0	5	0	0
271	安娜丝美丽＋	littlecard_0270.png	bigcard_0270.png	icon_occupation_warlock_big.png	icon_occupation_base_elite.png	4	9	littlecard_frame_class3_elite.png	bigcard_frame_class3_elite.png	icon_occupation_warlock_button.png	英雄进化	14	2	60	1532	1	83.16	1118	1	60.72	55	101	-1	400	2500	200	9300	0	0	800	0	0	0	0	0	5	0	0
272	苍白者	littlecard_0272.png	bigcard_0272.png	icon_occupation_warlock_big.png	icon_occupation_base3.png	4	9	littlecard_frame_class3.png	bigcard_frame_class3.png	icon_occupation_warlock_button.png	STSM、符石抽奖	11	2	60	1277	1	69.3	931	1	50.6	21	106	-1	400	2500	700	8500	200	0	1000	0	0	0	0	0	5	0	0
273	苍白者＋	littlecard_0272.png	bigcard_0272.png	icon_occupation_warlock_big.png	icon_occupation_base_elite.png	4	9	littlecard_frame_class3_elite.png	bigcard_frame_class3_elite.png	icon_occupation_warlock_button.png	英雄进化	14	2	60	1532	1	83.16	1118	1	60.72	61	106	-1	400	2500	700	8500	200	0	1000	0	0	0	0	0	5	0	0
274	死骑瑞文	littlecard_0274.png	bigcard_0274.png	icon_occupation_warlock_big.png	icon_occupation_base4.png	5	9	littlecard_frame_class4.png	bigcard_frame_class4.png	icon_occupation_warlock_button.png	STSM、符石抽奖	18	2	75	1865	1	92.7	1360	1	67.5	21	107	-1	600	5000	1000	8500	600	0	1600	0	0	0	0	0	5	0	0
275	死骑瑞文＋	littlecard_0274.png	bigcard_0274.png	icon_occupation_warlock_big.png	icon_occupation_base_elite.png	5	9	littlecard_frame_class4_elite.png	bigcard_frame_class4_elite.png	icon_occupation_warlock_button.png	英雄进化	22	2	75	2280	1	113.3	1663	1	82.5	61	107	-1	600	5000	1000	8500	600	0	1600	0	0	0	0	0	5	0	0
276	镇长	littlecard_0276.png	bigcard_0276.png	icon_occupation_rogue_big.png	icon_occupation_base4.png	5	5	littlecard_frame_class4.png	bigcard_frame_class4.png	icon_occupation_rogue_button.png	STSM、符石抽奖	18	2	75	1865	1	92.7	1360	1	67.5	10	52	-1	600	5000	2000	8500	1100	0	0	0	0	0	0	0	1	5000	0
277	镇长＋	littlecard_0276.png	bigcard_0276.png	icon_occupation_rogue_big.png	icon_occupation_base_elite.png	5	5	littlecard_frame_class4_elite.png	bigcard_frame_class4_elite.png	icon_occupation_rogue_button.png	英雄进化	22	2	75	2280	1	113.3	1663	1	82.5	50	52	-1	600	5000	2000	8500	1100	0	0	0	0	0	0	0	1	5000	0
278	恐惧领主	littlecard_0278.png	bigcard_0278.png	icon_occupation_shaman_big.png	icon_occupation_base4.png	5	3	littlecard_frame_class4.png	bigcard_frame_class4.png	icon_occupation_shaman_button.png	STSM、符石抽奖	18	2	75	2177	1	108	1263	1	63	23	32	-1	600	5000	1700	10000	0	0	0	0	0	0	0	0	7	0	0
279	恐惧领主＋	littlecard_0278.png	bigcard_0278.png	icon_occupation_shaman_big.png	icon_occupation_base_elite.png	5	3	littlecard_frame_class4_elite.png	bigcard_frame_class4_elite.png	icon_occupation_shaman_button.png	英雄进化	22	2	75	2660	1	132	1544	1	77	63	32	-1	600	5000	1700	10000	0	0	0	0	0	0	0	0	7	0	0
280	血骨傀儡	littlecard_0280.png	bigcard_0280.png	icon_occupation_paladin_big.png	icon_occupation_base3.png	4	2	littlecard_frame_class3.png	bigcard_frame_class3.png	icon_occupation_paladin_button.png	通灵、符石抽奖	11	2	60	3194	1	173.8	332	1	17.6	13	16	-1	400	2500	600	8500	0	0	0	0	0	-2000	3000	0	1	0	0
281	血骨傀儡＋	littlecard_0280.png	bigcard_0280.png	icon_occupation_paladin_big.png	icon_occupation_base_elite.png	4	2	littlecard_frame_class3_elite.png	bigcard_frame_class3_elite.png	icon_occupation_paladin_button.png	英雄进化	14	2	60	3833	1	208.56	398	1	21.12	53	16	-1	400	2500	600	8500	0	0	0	0	0	-2000	3000	0	1	0	0
282	导师赞帝斯	littlecard_0282.png	bigcard_0282.png	icon_occupation_priest_big.png	icon_occupation_base3.png	4	8	littlecard_frame_class3.png	bigcard_frame_class3.png	icon_occupation_priest_button.png	通灵、符石抽奖	11	2	60	1277	1	69.3	931	1	50.6	101	91	-1	400	2500	200	8500	0	0	0	600	0	-1400	0	0	0	0	0
283	导师赞帝斯＋	littlecard_0282.png	bigcard_0282.png	icon_occupation_priest_big.png	icon_occupation_base_elite.png	4	8	littlecard_frame_class3_elite.png	bigcard_frame_class3_elite.png	icon_occupation_priest_button.png	英雄进化	14	2	60	1532	1	83.16	1118	1	60.72	141	91	-1	400	2500	200	8500	0	0	0	600	0	-1400	0	0	0	0	0
284	蕾丝霜雨	littlecard_0284.png	bigcard_0284.png	icon_occupation_mage_big.png	icon_occupation_base4.png	5	7	littlecard_frame_class4.png	bigcard_frame_class4.png	icon_occupation_mage_button.png	通灵、符石抽奖	18	2	75	1935	1	96	1555	1	77	29	77	-1	600	5000	200	9200	0	0	2000	0	0	-300	0	0	4	0	0
285	蕾丝霜雨＋	littlecard_0284.png	bigcard_0284.png	icon_occupation_mage_big.png	icon_occupation_base_elite.png	5	7	littlecard_frame_class4_elite.png	bigcard_frame_class4_elite.png	icon_occupation_mage_button.png	英雄进化	22	2	75	2322	1	115.2	1866	1	92.4	69	77	-1	600	5000	200	9200	0	0	2000	0	0	-300	0	0	4	0	0
286	超奶伊露吸	littlecard_0286.png	bigcard_0286.png	icon_occupation_priest_big.png	icon_occupation_base4.png	5	8	littlecard_frame_class4.png	bigcard_frame_class4.png	icon_occupation_priest_button.png	通灵、符石抽奖	18	2	75	2073	1	103	1512	1	75	101	92	-1	600	5000	200	8500	0	0	0	1200	0	-2200	0	0	0	0	0
287	超奶伊露吸＋	littlecard_0286.png	bigcard_0286.png	icon_occupation_priest_big.png	icon_occupation_base_elite.png	5	8	littlecard_frame_class4_elite.png	bigcard_frame_class4_elite.png	icon_occupation_priest_button.png	英雄进化	22	2	75	2487	1	123.6	1814	1	90	141	92	-1	600	5000	200	8500	0	0	0	1200	0	-2200	0	0	0	0	0
288	院长加丁	littlecard_0288.png	bigcard_0288.png	icon_occupation_mage_big.png	icon_occupation_base4.png	5	7	littlecard_frame_class4.png	bigcard_frame_class4.png	icon_occupation_mage_button.png	通灵、符石抽奖	18	2	75	1935	1	96	1555	1	77	19	82	-1	600	5000	1800	8500	0	0	1100	0	0	-300	0	0	3	0	0
289	院长加丁＋	littlecard_0288.png	bigcard_0288.png	icon_occupation_mage_big.png	icon_occupation_base_elite.png	5	7	littlecard_frame_class4_elite.png	bigcard_frame_class4_elite.png	icon_occupation_mage_button.png	英雄进化	22	2	75	2322	1	115.2	1866	1	92.4	59	82	-1	600	5000	1800	8500	0	0	1100	0	0	-300	0	0	3	0	0
290	杰德	littlecard_0290.png	bigcard_0290.png	icon_occupation_paladin_big.png	icon_occupation_base3.png	4	2	littlecard_frame_class3.png	bigcard_frame_class3.png	icon_occupation_paladin_button.png	黑上、符石抽奖	11	2	60	3194	1	173.8	332	1	17.6	13	16	-1	400	2500	600	8500	0	0	0	0	0	-2000	3000	0	1	0	0
291	杰德＋	littlecard_0290.png	bigcard_0290.png	icon_occupation_paladin_big.png	icon_occupation_base_elite.png	4	2	littlecard_frame_class3_elite.png	bigcard_frame_class3_elite.png	icon_occupation_paladin_button.png	英雄进化	14	2	60	3833	1	208.56	398	1	21.12	53	16	-1	400	2500	600	8500	0	0	0	0	0	-2000	3000	0	1	0	0
292	烈焰卫士	littlecard_0292.png	bigcard_0292.png	icon_occupation_mage_big.png	icon_occupation_base3.png	4	7	littlecard_frame_class3.png	bigcard_frame_class3.png	icon_occupation_mage_button.png	黑上、符石抽奖	11	2	60	1192	1	64.9	958	1	51.7	14	71	-1	400	2500	200	8500	0	0	1500	0	0	0	0	0	3	0	0
293	烈焰卫士＋	littlecard_0292.png	bigcard_0292.png	icon_occupation_mage_big.png	icon_occupation_base_elite.png	4	7	littlecard_frame_class3_elite.png	bigcard_frame_class3_elite.png	icon_occupation_mage_button.png	英雄进化	14	2	60	1430	1	77.88	1149	1	62.04	54	71	-1	400	2500	200	8500	0	0	1500	0	0	0	0	0	3	0	0
294	大帝雷得	littlecard_0294.png	bigcard_0294.png	icon_occupation_warrior_big.png	icon_occupation_base4.png	5	1	littlecard_frame_class4.png	bigcard_frame_class4.png	icon_occupation_warrior_button.png	黑上、符石抽奖	18	2	75	3456	1	172	1080	1	54	18	12	-1	600	5000	1700	8500	0	1000	0	0	-1000	0	0	0	1	0	0
295	大帝雷得＋	littlecard_0294.png	bigcard_0294.png	icon_occupation_warrior_big.png	icon_occupation_base_elite.png	5	1	littlecard_frame_class4_elite.png	bigcard_frame_class4_elite.png	icon_occupation_warrior_button.png	英雄进化	22	2	75	4147	1	206.4	1296	1	64.8	58	12	-1	600	5000	1700	8500	0	1000	0	0	-1000	0	0	0	1	0	0
296	比斯巨兽	littlecard_0296.png	bigcard_0296.png	icon_occupation_mage_big.png	icon_occupation_base3.png	4	7	littlecard_frame_class3.png	bigcard_frame_class3.png	icon_occupation_mage_button.png	黑上、符石抽奖	11	2	60	1192	1	64.9	958	1	51.7	14	71	-1	400	2500	200	8500	0	0	1500	0	0	0	0	0	3	0	0
297	比斯巨兽＋	littlecard_0296.png	bigcard_0296.png	icon_occupation_mage_big.png	icon_occupation_base_elite.png	4	7	littlecard_frame_class3_elite.png	bigcard_frame_class3_elite.png	icon_occupation_mage_button.png	英雄进化	14	2	60	1430	1	77.88	1149	1	62.04	54	71	-1	400	2500	200	8500	0	0	1500	0	0	0	0	0	3	0	0
298	将军	littlecard_0298.png	bigcard_0298.png	icon_occupation_warrior_big.png	icon_occupation_base4.png	5	1	littlecard_frame_class4.png	bigcard_frame_class4.png	icon_occupation_warrior_button.png	黑上、符石抽奖	18	2	75	5391	1	259	540	1	27	11	2	-1	600	5000	200	8500	0	0	0	0	-3000	0	4000	1000	1	0	0
299	将军＋	littlecard_0298.png	bigcard_0298.png	icon_occupation_warrior_big.png	icon_occupation_base_elite.png	5	1	littlecard_frame_class4_elite.png	bigcard_frame_class4_elite.png	icon_occupation_warrior_button.png	英雄进化	22	2	75	6469	1	310.8	648	1	32.4	51	2	-1	600	5000	200	8500	0	0	0	0	-3000	0	4000	1000	1	0	0
300	蓝巨龙	littlecard_0300.png	bigcard_0300.png	icon_occupation_paladin_big.png	icon_occupation_base5.png	6	2	littlecard_frame_class5.png	bigcard_frame_class5.png	icon_occupation_paladin_button.png	活动获得	38	3	99	10260	1	504	937	1	52	13	18	-1	800	8000	200	8500	0	0	0	0	-1400	-4500	5000	0	1	0	0
301	蓝巨龙＋	littlecard_0300.png	bigcard_0300.png	icon_occupation_paladin_big.png	icon_occupation_base_elite.png	6	2	littlecard_frame_class5_elite.png	bigcard_frame_class5_elite.png	icon_occupation_paladin_button.png	英雄进化	46	3	99	12312	1	604.8	1124	1	62.4	53	18	-1	800	8000	200	8500	0	0	0	0	-1400	-4500	5000	0	1	0	0
302	青铜巨龙	littlecard_0302.png	bigcard_0302.png	icon_occupation_warrior_big.png	icon_occupation_base5.png	6	1	littlecard_frame_class5.png	bigcard_frame_class5.png	icon_occupation_warrior_button.png	活动获得	38	3	99	9900	1	504	937	1	52	11	3	-1	800	8000	200	8500	0	0	0	0	-4500	0	5000	1500	1	0	0
303	青铜巨龙＋	littlecard_0302.png	bigcard_0302.png	icon_occupation_warrior_big.png	icon_occupation_base_elite.png	6	1	littlecard_frame_class5_elite.png	bigcard_frame_class5_elite.png	icon_occupation_warrior_button.png	英雄进化	46	3	99	11880	1	604.8	1124	1	62.4	51	3	-1	800	8000	200	8500	0	0	0	0	-4500	0	5000	1500	1	0	0
304	红巨龙	littlecard_0304.png	bigcard_0304.png	icon_occupation_mage_big.png	icon_occupation_base5.png	6	7	littlecard_frame_class5.png	bigcard_frame_class5.png	icon_occupation_mage_button.png	活动获得	38	3	99	3360	1	188	2700	1	151	14	73	-1	800	8000	200	8500	0	0	3200	0	0	-700	0	0	3	0	0
305	红巨龙＋	littlecard_0304.png	bigcard_0304.png	icon_occupation_mage_big.png	icon_occupation_base_elite.png	6	7	littlecard_frame_class5_elite.png	bigcard_frame_class5_elite.png	icon_occupation_mage_button.png	英雄进化	46	3	99	4032	1	225.6	3240	1	181.2	54	73	-1	800	8000	200	8500	0	0	3200	0	0	-700	0	0	3	0	0
306	黑巨龙	littlecard_0306.png	bigcard_0306.png	icon_occupation_warrior_big.png	icon_occupation_base5.png	6	1	littlecard_frame_class5.png	bigcard_frame_class5.png	icon_occupation_warrior_button.png	活动获得	38	3	99	6000	1	336	1875	1	105	18	13	-1	800	8000	2300	8500	0	1500	0	0	-1200	0	0	0	1	0	0
307	黑巨龙＋	littlecard_0306.png	bigcard_0306.png	icon_occupation_warrior_big.png	icon_occupation_base_elite.png	6	1	littlecard_frame_class5_elite.png	bigcard_frame_class5_elite.png	icon_occupation_warrior_button.png	英雄进化	46	3	99	7200	1	403.2	2250	1	126	58	13	-1	800	8000	2300	8500	0	1500	0	0	-1200	0	0	0	1	0	0
308	太阳花	littlecard_0308.png	bigcard_0308.png	icon_occupation_paladin_big.png	icon_occupation_base3.png	4	2	littlecard_frame_class3.png	bigcard_frame_class3.png	icon_occupation_paladin_button.png	友情抽奖、南瓜农场	50	2	1	177	0	0	177	0	0	102	110	-1	5000	100	0	10000	0	0	0	0	0	-1400	0	0	0	0	0
309	南瓜瓜	littlecard_0309.png	bigcard_0309.png	icon_occupation_paladin_big.png	icon_occupation_base4.png	5	2	littlecard_frame_class4.png	bigcard_frame_class4.png	icon_occupation_paladin_button.png	友情抽奖、南瓜农场	50	2	1	177	0	0	177	0	0	23	111	-1	25000	100	1500	8500	0	0	0	0	0	0	0	0	7	0	0
310	超稀有小金龙	littlecard_0310.png	bigcard_0310.png	icon_occupation_warrior_big.png	icon_occupation_base4.png	5	1	littlecard_frame_class4.png	bigcard_frame_class4.png	icon_occupation_warrior_button.png	友情抽奖、小金龙	50	2	1	188	0	0	188	0	0	11	114	-1	100	54546	0	8500	0	800	0	0	-400	0	0	0	1	0	0
311	撸人贾	littlecard_0311.png	bigcard_0311.png	icon_occupation_priest_big.png	icon_occupation_base1.png	2	8	littlecard_frame_class1.png	bigcard_frame_class1.png	icon_occupation_priest_button.png	创建帐号系统赠送	4	1	25	422	1	20.9	308	1	15.4	105	-1	-1	150	800	200	8500	0	0	0	0	0	0	0	0	0	0	0
312	撸人已	littlecard_0312.png	bigcard_0312.png	icon_occupation_warrior_big.png	icon_occupation_base1.png	2	1	littlecard_frame_class1.png	bigcard_frame_class1.png	icon_occupation_warrior_button.png	创建帐号系统赠送	4	1	25	704	1	35.2	220	1	11	18	-1	-1	150	800	200	8500	0	0	0	0	0	0	0	0	1	0	0
313	国足圣圣	littlecard_0313.png	bigcard_0313.png	icon_occupation_paladin_big.png	icon_occupation_base3.png	4	2	littlecard_frame_class3.png	bigcard_frame_class3.png	icon_occupation_paladin_button.png	符石抽奖、英雄进化	11	2	60	2767	1	150.7	465	1	25.3	100	21	-1	400	2500	1000	8500	0	0	0	0	0	-1200	0	0	0	0	0
314	国足圣圣＋	littlecard_0313.png	bigcard_0313.png	icon_occupation_paladin_big.png	icon_occupation_base_elite.png	4	2	littlecard_frame_class3_elite.png	bigcard_frame_class3_elite.png	icon_occupation_paladin_button.png	英雄进化	14	2	60	3321	1	180.84	558	1	30.36	140	21	-1	400	2500	1000	8500	0	0	0	0	0	-1200	0	0	0	0	0
315	国足光光	littlecard_0315.png	bigcard_0315.png	icon_occupation_paladin_big.png	icon_occupation_base3.png	4	2	littlecard_frame_class3.png	bigcard_frame_class3.png	icon_occupation_paladin_button.png	符石抽奖、英雄进化	11	2	60	2767	1	150.7	465	1	25.3	100	21	-1	400	2500	1000	8500	0	0	0	0	0	-1200	0	0	0	0	0
316	国足光光＋	littlecard_0315.png	bigcard_0315.png	icon_occupation_paladin_big.png	icon_occupation_base_elite.png	4	2	littlecard_frame_class3_elite.png	bigcard_frame_class3_elite.png	icon_occupation_paladin_button.png	英雄进化	14	2	60	3321	1	180.84	558	1	30.36	140	21	-1	400	2500	1000	8500	0	0	0	0	0	-1200	0	0	0	0	0
317	国足棍棍	littlecard_0317.png	bigcard_0317.png	icon_occupation_paladin_big.png	icon_occupation_base3.png	4	2	littlecard_frame_class3.png	bigcard_frame_class3.png	icon_occupation_paladin_button.png	符石抽奖、英雄进化	11	2	60	2767	1	150.7	465	1	25.3	100	21	-1	400	2500	1000	8500	0	0	0	0	0	-1200	0	0	0	0	0
318	国足棍棍＋	littlecard_0317.png	bigcard_0317.png	icon_occupation_paladin_big.png	icon_occupation_base_elite.png	4	2	littlecard_frame_class3_elite.png	bigcard_frame_class3_elite.png	icon_occupation_paladin_button.png	英雄进化	14	2	60	3321	1	180.84	558	1	30.36	140	21	-1	400	2500	1000	8500	0	0	0	0	0	-1200	0	0	0	0	0
319	国足骑骑	littlecard_0319.png	bigcard_0319.png	icon_occupation_paladin_big.png	icon_occupation_base3.png	4	2	littlecard_frame_class3.png	bigcard_frame_class3.png	icon_occupation_paladin_button.png	符石抽奖、英雄进化	11	2	60	3194	1	173.8	332	1	17.6	13	16	-1	400	2500	600	8500	0	0	0	0	0	-2000	3000	0	1	0	0
320	国足骑骑＋	littlecard_0319.png	bigcard_0319.png	icon_occupation_paladin_big.png	icon_occupation_base_elite.png	4	2	littlecard_frame_class3_elite.png	bigcard_frame_class3_elite.png	icon_occupation_paladin_button.png	英雄进化	14	2	60	3833	1	208.56	398	1	21.12	53	16	-1	400	2500	600	8500	0	0	0	0	0	-2000	3000	0	1	0	0
321	国足士士	littlecard_0321.png	bigcard_0321.png	icon_occupation_paladin_big.png	icon_occupation_base3.png	4	2	littlecard_frame_class3.png	bigcard_frame_class3.png	icon_occupation_paladin_button.png	符石抽奖、英雄进化	11	2	60	3194	1	173.8	332	1	17.6	13	16	-1	400	2500	600	8500	0	0	0	0	0	-2000	3000	0	1	0	0
322	国足士士＋	littlecard_0321.png	bigcard_0321.png	icon_occupation_paladin_big.png	icon_occupation_base_elite.png	4	2	littlecard_frame_class3_elite.png	bigcard_frame_class3_elite.png	icon_occupation_paladin_button.png	英雄进化	14	2	60	3833	1	208.56	398	1	21.12	53	16	-1	400	2500	600	8500	0	0	0	0	0	-2000	3000	0	1	0	0
323	国足团团	littlecard_0323.png	bigcard_0323.png	icon_occupation_paladin_big.png	icon_occupation_base3.png	4	2	littlecard_frame_class3.png	bigcard_frame_class3.png	icon_occupation_paladin_button.png	符石抽奖、英雄进化	11	2	60	3194	1	173.8	332	1	17.6	13	16	-1	400	2500	600	8500	0	0	0	0	0	-2000	3000	0	1	0	0
324	国足团团＋	littlecard_0323.png	bigcard_0323.png	icon_occupation_paladin_big.png	icon_occupation_base_elite.png	4	2	littlecard_frame_class3_elite.png	bigcard_frame_class3_elite.png	icon_occupation_paladin_button.png	英雄进化	14	2	60	3833	1	208.56	398	1	21.12	53	16	-1	400	2500	600	8500	0	0	0	0	0	-2000	3000	0	1	0	0
325	五火球教主	littlecard_0325.png	bigcard_0325.png	icon_occupation_mage_big.png	icon_occupation_base3.png	4	7	littlecard_frame_class3.png	bigcard_frame_class3.png	icon_occupation_mage_button.png	符石抽奖、英雄进化	11	2	60	1192	1	64.9	958	1	51.7	14	71	-1	400	2500	200	8500	0	0	1500	0	0	0	0	0	3	0	0
326	五火球教主＋	littlecard_0325.png	bigcard_0325.png	icon_occupation_mage_big.png	icon_occupation_base_elite.png	4	7	littlecard_frame_class3_elite.png	bigcard_frame_class3_elite.png	icon_occupation_mage_button.png	英雄进化	14	2	60	1430	1	77.88	1149	1	62.04	54	71	-1	400	2500	200	8500	0	0	1500	0	0	0	0	0	3	0	0
327	小金龙	littlecard_0310.png	bigcard_0310.png	icon_occupation_warrior_big.png	icon_occupation_base2.png	3	1	littlecard_frame_class2.png	bigcard_frame_class2.png	icon_occupation_warrior_button.png	友情抽奖、小金龙	50	1	1	188	0	0	188	0	0	11	112	-1	100	9091	0	8500	0	800	0	0	-400	0	0	0	1	0	0
328	稀有小金龙	littlecard_0310.png	bigcard_0310.png	icon_occupation_warrior_big.png	icon_occupation_base3.png	4	1	littlecard_frame_class3.png	bigcard_frame_class3.png	icon_occupation_warrior_button.png	友情抽奖、小金龙	50	2	1	188	0	0	188	0	0	11	113	-1	100	27273	0	8500	0	800	0	0	-400	0	0	0	1	0	0
329	哀木涕	littlecard_0329.png	bigcard_0329.png	icon_occupation_warrior_big.png	icon_occupation_base4.png	5	1	littlecard_frame_class4.png	bigcard_frame_class4.png	icon_occupation_warrior_button.png	符石抽奖、英雄进化	18	2	75	6038	1	290.304	604	1	30.24	11	2	-1	600	5000	0	8500	0	0	0	0	-3000	0	4000	1000	1	0	0
330	哀木涕＋	littlecard_0329.png	bigcard_0329.png	icon_occupation_warrior_big.png	icon_occupation_base_elite.png	5	1	littlecard_frame_class4_elite.png	bigcard_frame_class4_elite.png	icon_occupation_warrior_button.png	英雄进化	22	2	75	7245	1	348.3648	725	1	36.288	51	2	-1	600	5000	0	8500	0	0	0	0	-3000	0	4000	1000	1	0	0
331	傻馒	littlecard_0331.png	bigcard_0331.png	icon_occupation_shaman_big.png	icon_occupation_base4.png	5	3	littlecard_frame_class4.png	bigcard_frame_class4.png	icon_occupation_shaman_button.png	符石抽奖、英雄进化	18	2	75	2709	1	135.4752	1572	1	78.624	23	32	-1	600	5000	1500	10000	0	0	0	0	0	0	0	0	7	0	0
332	傻馒＋	littlecard_0331.png	bigcard_0331.png	icon_occupation_shaman_big.png	icon_occupation_base_elite.png	5	3	littlecard_frame_class4_elite.png	bigcard_frame_class4_elite.png	icon_occupation_shaman_button.png	英雄进化	22	2	75	3251	1	162.57024	1886	1	94.3488	63	32	-1	600	5000	1500	10000	0	0	0	0	0	0	0	0	7	0	0
333	呆贼	littlecard_0333.png	bigcard_0333.png	icon_occupation_rogue_big.png	icon_occupation_base4.png	5	5	littlecard_frame_class4.png	bigcard_frame_class4.png	icon_occupation_rogue_button.png	符石抽奖、英雄进化	18	2	75	2322	1	116.1216	1693	1	84.672	10	52	-1	600	5000	1800	8500	1100	0	0	0	0	0	0	0	1	5000	0
334	呆贼＋	littlecard_0333.png	bigcard_0333.png	icon_occupation_rogue_big.png	icon_occupation_base_elite.png	5	5	littlecard_frame_class4_elite.png	bigcard_frame_class4_elite.png	icon_occupation_rogue_button.png	英雄进化	22	2	75	2786	1	139.34592	2032	1	101.6064	50	52	-1	600	5000	1800	8500	1100	0	0	0	0	0	0	0	1	5000	0
335	劣人	littlecard_0335.png	bigcard_0335.png	icon_occupation_hunter_big.png	icon_occupation_base4.png	5	4	littlecard_frame_class4.png	bigcard_frame_class4.png	icon_occupation_hunter_button.png	符石抽奖、英雄进化	18	2	75	2786	1	116.1216	1693	1	84.672	22	47	-1	600	5000	0	8700	1800	0	0	0	0	0	0	0	2	0	0
336	劣人＋	littlecard_0335.png	bigcard_0335.png	icon_occupation_hunter_big.png	icon_occupation_base_elite.png	5	4	littlecard_frame_class4_elite.png	bigcard_frame_class4_elite.png	icon_occupation_hunter_button.png	英雄进化	22	2	75	3344	1	139.34592	2032	1	101.6064	62	47	-1	600	5000	0	8700	1800	0	0	0	0	0	0	0	2	0	0
