##怪物表																						
##[SC]怪物编号	[C]类型	[C]卡牌形象	[SC]生命	[S]攻击	[S]暴击值	[S]命中值	[S]闪避值	[S]物攻修正	[S]法攻修正	[S]治疗修正	[S]所受物伤修正	[S]所受法伤修正	[S]所受治疗修正	[S]普通技能编号	[S]高级技能编号	[S]获得经验	[S]获得金币	[S]掉落方案编号	[S]掉落方案编号2	[S]AI编号	[S]暴击伤害修正	[S]韧性
int	int	int	int	int	int	int	int	int	int	int	int	int	int	string	int	int	int	int	int	int	int	int
724	1	129	38130	3892	1500	8500	-1000	0	0	0	-4500	0	0	1	218	864	3750	724	724	-1	0	0
725	0	127	10040	1761	400	8700	-1500	0	0	0	0	-300	0	5	215	0	0	725	725	-1	0	0
726	0	128	10040	1761	400	8700	-1500	0	0	0	0	-300	0	3	214	0	0	726	726	-1	0	0
727	0	129	10040	1761	400	8500	-1500	0	0	0	-1000	0	0	1	211	0	0	727	727	-1	0	0
728	0	130	45494	1346	400	8500	-1000	0	0	0	0	-4000	0	1	300	0	0	728	728	-1	0	0
729	1	270	53544	4756	1500	8500	-300	0	0	0	0	-3500	0	5	215	882	3825	729	729	-1	0	0
730	0	127	10103	1772	400	8700	-1500	0	0	0	0	-300	0	5	215	0	0	730	730	-1	0	0
731	0	128	10103	1772	400	8700	-1500	0	0	0	0	-300	0	3	214	0	0	731	731	-1	0	0
732	0	130	10103	1772	400	8500	-1500	0	0	0	0	-1000	0	1	300	0	0	732	732	-1	0	0
733	1	128	58599	2658	1500	9000	0	0	0	0	0	-2500	0	3	214	0	0	733	733	-1	0	0
734	1	130	73249	1660	1500	8500	-1000	0	0	0	0	-4500	0	1	300	882	3825	734	734	-1	0	0
735	0	127	10167	1783	400	8700	-1500	0	0	0	0	-300	0	5	215	0	0	735	735	-1	0	0
736	0	128	10167	1783	400	8700	-1500	0	0	0	0	-300	0	3	214	0	0	736	736	-1	0	0
737	0	129	10167	1783	400	8500	-1500	0	0	0	-1000	0	0	1	211	0	0	737	737	-1	0	0
738	0	130	46067	1363	400	8500	-1000	0	0	0	0	-4000	0	1	300	0	0	738	738	-1	0	0
739	1	272	54219	4816	1500	8500	-300	0	0	0	0	-3500	0	5	221	882	3825	739	739	-1	0	0
740	0	129	10230	1794	400	8500	-1500	0	0	0	-1000	0	0	1	211	0	0	740	740	-1	0	0
741	0	130	10230	1794	400	8500	-1500	0	0	0	0	-1000	0	1	300	0	0	741	741	-1	0	0
742	0	269	10230	1794	400	8500	-1500	0	0	0	-1000	0	0	1	211	0	0	742	742	-1	0	0
743	1	127	49446	3364	1500	8500	0	0	0	0	0	-2500	0	5	215	0	0	743	743	-1	0	0
744	1	128	39553	4038	1500	9000	0	0	0	0	0	-2500	0	3	214	882	3825	744	744	-1	0	0
745	0	128	10477	1838	400	8700	-1500	0	0	0	0	-300	0	3	214	0	0	745	745	-1	0	0
746	0	129	10477	1838	400	8500	-1500	0	0	0	-1000	0	0	1	211	0	0	746	746	-1	0	0
747	0	130	10477	1838	400	8500	-1500	0	0	0	0	-1000	0	1	300	0	0	747	747	-1	0	0
748	0	269	47473	1405	400	8500	-1000	0	0	0	-4000	0	0	1	211	0	0	748	748	-1	0	0
749	1	274	55872	4963	1500	8500	-300	0	0	0	0	-3500	0	5	221	900	3900	749	5006	-1	0	0
750	0	129	10540	1849	400	8500	-1500	0	0	0	-1000	0	0	1	211	0	0	750	750	-1	0	0
751	0	130	10540	1849	400	8500	-1500	0	0	0	0	-1000	0	1	300	0	0	751	751	-1	0	0
752	0	127	10540	1849	400	8700	-1500	0	0	0	0	-300	0	5	215	0	0	752	752	-1	0	0
753	1	129	76412	1732	1500	8500	-1000	0	0	0	-4500	0	0	1	211	0	0	753	753	-1	0	0
754	1	130	40750	4160	1500	8500	-1000	0	0	0	0	-4500	0	1	300	900	3900	754	754	-1	0	0
755	0	128	10602	1860	400	8700	-1500	0	0	0	0	-300	0	3	214	0	0	755	755	-1	0	0
756	0	129	10602	1860	400	8500	-1500	0	0	0	-1000	0	0	1	211	0	0	756	756	-1	0	0
757	0	130	10602	1860	400	8500	-1500	0	0	0	0	-1000	0	1	300	0	0	757	757	-1	0	0
758	0	269	48041	1422	400	8500	-1000	0	0	0	-4000	0	0	1	211	0	0	758	758	-1	0	0
759	1	276	56541	5022	1500	8500	2500	0	0	0	-2000	0	0	1	210	900	3900	759	5007	-1	0	0
760	0	129	10665	1871	400	8500	-1500	0	0	0	-1000	0	0	1	211	0	0	760	760	-1	0	0
761	0	130	10665	1871	400	8500	-1500	0	0	0	0	-1000	0	1	300	0	0	761	761	-1	0	0
762	0	127	10665	1871	400	8700	-1500	0	0	0	0	-300	0	5	215	0	0	762	762	-1	0	0
763	1	269	77321	1753	1500	8500	-1000	0	0	0	-4500	0	0	1	211	0	0	763	763	-1	0	0
764	1	269	61858	2807	1500	8500	-1000	0	0	0	-4500	0	0	1	218	900	3900	764	764	-1	0	0
765	0	127	10914	1914	400	8700	-1500	0	0	0	0	-300	0	5	215	0	0	765	765	-1	0	0
766	0	129	10914	1914	400	8500	-1500	0	0	0	-1000	0	0	1	211	0	0	766	766	-1	0	0
767	0	130	10914	1914	400	8500	-1500	0	0	0	0	-1000	0	1	300	0	0	767	767	-1	0	0
768	0	269	49452	1464	400	8500	-1000	0	0	0	-4000	0	0	1	211	0	0	768	768	-1	0	0
769	1	278	58208	5170	1500	8500	1000	0	0	0	0	-4000	0	7	223	918	3975	769	5008	-1	0	0
770	0	83	10976	1925	400	8500	-1500	0	0	0	-1000	0	0	1	218	0	0	770	770	-1	0	0
771	0	84	10976	1925	400	8500	-1500	0	0	0	-1000	0	0	1	218	0	0	771	771	-1	0	0
772	0	132	10976	1925	400	8500	-1500	0	0	0	0	0	0	1	210	0	0	772	772	-1	0	0
773	1	83	79574	1804	1500	8500	-1000	0	0	0	-4500	0	0	1	218	0	0	773	773	-1	0	0
774	1	83	53051	3610	1500	8500	-1000	0	0	0	-4500	0	0	1	218	918	3975	774	774	-1	0	0
775	0	83	11038	1936	400	8500	-1500	0	0	0	-1000	0	0	1	218	0	0	775	775	-1	0	0
776	0	84	11038	1936	400	8500	-1500	0	0	0	-1000	0	0	1	218	0	0	776	776	-1	0	0
777	0	132	11038	1936	400	8500	-1500	0	0	0	0	0	0	1	210	0	0	777	777	-1	0	0
778	0	222	8000	5214	400	8500	0	0	0	0	-3000	0	0	1	211	0	0	778	778	-1	0	0
779	1	280	73588	4356	1500	8500	-1000	0	0	0	0	-5000	0	1	213	918	3975	779	779	-1	0	0
780	0	83	11100	1947	400	8500	-1500	0	0	0	-1000	0	0	1	218	0	0	780	780	-1	0	0
781	0	84	11100	1947	400	8500	-1500	0	0	0	-1000	0	0	1	218	0	0	781	781	-1	0	0
782	0	222	11100	1947	400	8500	-1500	0	0	0	-500	0	0	1	211	0	0	782	782	-1	0	0
783	1	84	80474	1825	1500	8500	-1000	0	0	0	-4500	0	0	1	218	0	0	783	783	-1	0	0
784	1	84	42921	4382	1500	8500	-1000	0	0	0	-4500	0	0	1	218	918	3975	784	784	-1	0	0
785	0	83	11350	1991	400	8500	-1500	0	0	0	-1000	0	0	1	218	0	0	785	785	-1	0	0
786	0	84	11350	1991	400	8500	-1500	0	0	0	-1000	0	0	1	218	0	0	786	786	-1	0	0
787	0	132	11350	1991	400	8500	-1500	0	0	0	0	0	0	1	210	0	0	787	787	-1	0	0
788	0	222	51432	1523	400	8500	0	0	0	0	-3000	0	0	1	211	0	0	788	788	-1	0	0
789	1	282	60536	5377	1500	8500	-300	0	0	0	0	-3500	0	1	301	936	4050	789	789	-1	0	0
790	0	83	11411	2002	400	8500	-1500	0	0	0	-1000	0	0	1	218	0	0	790	790	-1	0	0
791	0	132	11411	2002	400	8500	-1500	0	0	0	0	0	0	1	210	0	0	791	791	-1	0	0
792	0	222	11411	2002	400	8500	-1500	0	0	0	-500	0	0	1	211	0	0	792	792	-1	0	0
793	1	132	55159	3754	1500	8500	2000	0	0	0	-1000	0	0	1	210	0	0	793	793	-1	0	0
794	1	132	44126	4505	1500	8500	2000	0	0	0	-1000	0	0	1	210	936	4050	794	794	-1	0	0
795	0	83	11473	2013	400	8500	-1500	0	0	0	-1000	0	0	1	218	0	0	795	795	-1	0	0
796	0	84	11473	2013	400	8500	-1500	0	0	0	-1000	0	0	1	218	0	0	796	796	-1	0	0
797	0	132	11473	2013	400	8500	-1500	0	0	0	0	0	0	1	210	0	0	797	797	-1	0	0
798	0	222	51987	1539	400	8500	0	0	0	0	-3000	0	0	1	211	0	0	798	798	-1	0	0
799	1	284	61190	5435	1500	10000	-300	0	0	0	0	-3500	0	4	229	936	4050	799	5009	-1	0	0
800	0	83	11534	2023	400	8500	-1500	0	0	0	-1000	0	0	1	218	0	0	800	800	-1	0	0
801	0	84	11534	2023	400	8500	-1500	0	0	0	-1000	0	0	1	218	0	0	801	801	-1	0	0
802	0	132	11534	2023	400	8500	-1500	0	0	0	0	0	0	1	210	0	0	802	802	-1	0	0
803	1	83	83624	1896	1500	8500	-1000	0	0	0	-4500	0	0	1	218	0	0	803	803	-1	0	0
804	1	132	44600	4553	1500	8500	2000	0	0	0	-1000	0	0	1	210	936	4050	804	804	-1	0	0
805	0	83	11787	2068	400	8500	-1500	0	0	0	-1000	0	0	1	218	0	0	805	805	-1	0	0
806	0	84	11787	2068	400	8500	-1500	0	0	0	-1000	0	0	1	218	0	0	806	806	-1	0	0
807	0	132	11787	2068	400	8500	-1500	0	0	0	0	0	0	1	210	0	0	807	807	-1	0	0
808	0	222	53411	1581	400	8500	0	0	0	0	-3000	0	0	1	211	0	0	808	808	-1	0	0
809	1	286	62864	5584	1500	8500	-300	0	0	0	0	-3500	0	1	301	954	4125	809	5010	-1	0	0
810	0	83	11848	2079	400	8500	-1500	0	0	0	-1000	0	0	1	218	0	0	810	810	-1	0	0
811	0	84	11848	2079	400	8500	-1500	0	0	0	-1000	0	0	1	218	0	0	811	811	-1	0	0
812	0	222	11848	2079	400	8500	-1500	0	0	0	-500	0	0	1	211	0	0	812	812	-1	0	0
813	1	222	85896	1948	1500	8500	500	0	0	0	-3500	0	0	1	211	0	0	813	813	-1	0	0
814	1	222	45810	4677	1500	8500	500	0	0	0	-3500	0	0	1	211	954	4125	814	814	-1	0	0
815	0	83	11908	2089	400	8500	-1500	0	0	0	-1000	0	0	1	218	0	0	815	815	-1	0	0
816	0	84	11908	2089	400	8500	-1500	0	0	0	-1000	0	0	1	218	0	0	816	816	-1	0	0
817	0	132	11908	2089	400	8500	-1500	0	0	0	0	0	0	1	210	0	0	817	817	-1	0	0
818	0	222	53959	1598	400	8500	0	0	0	0	-3000	0	0	1	211	0	0	818	818	-1	0	0
819	1	288	63509	5641	1500	10000	-300	0	0	0	0	-3500	0	3	219	954	4125	819	5011	-1	0	0
820	0	253	11969	2100	400	8500	-1500	0	0	0	-1000	0	0	1	218	0	0	820	820	-1	0	0
821	0	254	11969	2100	400	8500	-1500	0	0	0	0	-500	0	1	302	0	0	821	821	-1	0	0
822	0	255	11969	2100	400	8700	-1500	0	0	0	-500	0	0	2	222	0	0	822	822	-1	0	0
823	1	253	57851	3937	1500	8500	-1000	0	0	0	-4500	0	0	1	218	0	0	823	823	-1	0	0
824	1	253	69417	3150	1500	8500	-1000	0	0	0	-4500	0	0	1	218	954	4125	824	824	-1	0	0
825	0	253	12233	2146	400	8500	-1500	0	0	0	-1000	0	0	1	218	0	0	825	825	-1	0	0
826	0	254	12233	2146	400	8500	-1500	0	0	0	0	-500	0	1	302	0	0	826	826	-1	0	0
827	0	255	12233	2146	400	8700	-1500	0	0	0	-500	0	0	2	222	0	0	827	827	-1	0	0
828	0	256	8867	5779	400	8500	1500	0	0	0	-500	0	0	1	210	0	0	828	828	-1	0	0
829	1	290	81552	4828	1500	8500	-1000	0	0	0	0	-5000	0	1	213	972	4200	829	829	-1	0	0
830	0	253	12293	2156	400	8500	-1500	0	0	0	-1000	0	0	1	218	0	0	830	830	-1	0	0
831	0	254	12293	2156	400	8500	-1500	0	0	0	0	-500	0	1	302	0	0	831	831	-1	0	0
832	0	255	12293	2156	400	8700	-1500	0	0	0	-500	0	0	2	222	0	0	832	832	-1	0	0
833	1	254	59414	4043	1500	8500	0	0	0	0	0	-3500	0	1	302	0	0	833	833	-1	0	0
834	1	254	47530	4852	1500	8500	0	0	0	0	0	-3500	0	1	302	972	4200	834	834	-1	0	0
835	0	256	12352	2167	400	8500	-1500	0	0	0	0	0	0	1	210	0	0	835	835	-1	0	0
836	0	254	12352	2167	400	8500	-1500	0	0	0	0	-500	0	1	302	0	0	836	836	-1	0	0
837	0	255	12352	2167	400	8700	-1500	0	0	0	-500	0	0	2	222	0	0	837	837	-1	0	0
838	0	256	8953	5835	400	8500	1500	0	0	0	-500	0	0	1	210	0	0	838	838	-1	0	0
839	1	292	82347	4875	1500	10000	-300	0	0	0	0	-3500	0	3	214	972	4200	839	839	-1	0	0
840	0	131	12412	2177	400	8700	-1500	0	0	0	0	-300	0	3	214	0	0	840	840	-1	0	0
841	0	254	12412	2177	400	8500	-1500	0	0	0	0	-500	0	1	302	0	0	841	841	-1	0	0
842	0	255	12412	2177	400	8700	-1500	0	0	0	-500	0	0	2	222	0	0	842	842	-1	0	0
843	1	255	59990	4082	1500	11000	0	0	0	0	-2500	0	0	2	222	0	0	843	843	-1	0	0
844	1	255	47991	4899	1500	11000	0	0	0	0	-2500	0	0	2	222	972	4200	844	844	-1	0	0
845	0	253	12680	2224	400	8500	-1500	0	0	0	-1000	0	0	1	218	0	0	845	845	-1	0	0
846	0	254	12680	2224	400	8500	-1500	0	0	0	0	-500	0	1	302	0	0	846	846	-1	0	0
847	0	131	12680	2224	400	8700	-1500	0	0	0	0	-300	0	3	214	0	0	847	847	-1	0	0
848	0	256	9193	5990	400	8500	1500	0	0	0	-500	0	0	1	210	0	0	848	848	-1	0	0
849	1	294	84528	5004	1500	8500	-1000	0	0	0	-5000	0	0	1	218	990	4275	849	5012	-1	0	0
850	0	256	12739	2234	400	8500	-1500	0	0	0	0	0	0	1	210	0	0	850	850	-1	0	0
851	0	254	12739	2234	400	8500	-1500	0	0	0	0	-500	0	1	302	0	0	851	851	-1	0	0
852	0	255	12739	2234	400	8700	-1500	0	0	0	-500	0	0	2	222	0	0	852	852	-1	0	0
853	1	256	61567	4189	1500	8500	2000	0	0	0	-1000	0	0	1	210	0	0	853	853	-1	0	0
854	1	256	49255	5027	1500	8500	2000	0	0	0	-1000	0	0	1	210	990	4275	854	854	-1	0	0
855	0	256	12797	2245	400	8500	-1500	0	0	0	0	0	0	1	210	0	0	855	855	-1	0	0
856	0	131	12797	2245	400	8700	-1500	0	0	0	0	-300	0	3	214	0	0	856	856	-1	0	0
857	0	255	12797	2245	400	8700	-1500	0	0	0	-500	0	0	2	222	0	0	857	857	-1	0	0
858	0	253	57989	1717	400	8500	-1000	0	0	0	-4000	0	0	1	218	0	0	858	858	-1	0	0
859	1	296	68251	6060	1500	10000	-300	0	0	0	0	-3500	0	3	214	990	4275	859	859	-1	0	0
860	0	256	12856	2255	400	8500	-1500	0	0	0	0	0	0	1	210	0	0	860	860	-1	0	0
861	0	254	12856	2255	400	8500	-1500	0	0	0	0	-500	0	1	302	0	0	861	861	-1	0	0
862	0	255	12856	2255	400	8700	-1500	0	0	0	-500	0	0	2	222	0	0	862	862	-1	0	0
863	1	131	74566	3382	1500	9000	0	0	0	0	0	-2500	0	3	214	0	0	863	863	-1	0	0
864	1	131	49709	5074	1500	9000	0	0	0	0	0	-2500	0	3	214	990	4275	864	864	-1	0	0
865	0	253	13126	2302	400	8500	-1500	0	0	0	-1000	0	0	1	218	0	0	865	865	-1	0	0
866	0	254	13126	2302	400	8500	-1500	0	0	0	0	-500	0	1	302	0	0	866	866	-1	0	0
867	0	131	13126	2302	400	8700	-1500	0	0	0	0	-300	0	3	214	0	0	867	867	-1	0	0
868	0	256	9516	6201	400	8500	1500	0	0	0	-500	0	0	1	210	0	0	868	868	-1	0	0
869	1	298	105008	4144	1500	8500	-1000	0	0	0	-5000	0	0	1	211	1008	4350	869	5013	-1	0	0
870	0	459	13184	2312	400	8500	-1500	0	0	0	0	0	0	1	210	0	0	870	870	-1	0	0
871	0	460	13184	2312	400	8700	-1500	0	0	0	0	-300	0	3	214	0	0	871	871	-1	0	0
872	0	461	13184	2312	400	8700	-1500	0	0	0	0	-300	0	5	221	0	0	872	872	-1	0	0
873	1	461	76466	3468	1500	8500	0	0	0	0	0	-2500	0	5	221	0	0	873	873	-1	0	0
874	1	459	76466	3468	1500	8500	2000	0	0	0	-1000	0	0	1	210	1344	5800	874	874	-1	0	0
875	0	459	13242	2322	400	8500	-1500	0	0	0	0	0	0	1	210	0	0	875	875	-1	0	0
876	0	460	13242	2322	400	8700	-1500	0	0	0	0	-300	0	3	214	0	0	876	876	-1	0	0
877	0	461	13242	2322	400	8700	-1500	0	0	0	0	-300	0	5	221	0	0	877	877	-1	0	0
878	0	459	60003	1777	400	8500	1500	0	0	0	-500	0	0	1	210	0	0	878	878	-1	0	0
879	1	451	70624	6272	1500	8500	-300	0	0	0	0	-3500	0	5	221	1344	5800	879	879	-1	0	0
880	0	459	13299	2332	400	8500	-1500	0	0	0	0	0	0	1	210	0	0	880	880	-1	0	0
881	0	460	13299	2332	400	8700	-1500	0	0	0	0	-300	0	3	214	0	0	881	881	-1	0	0
882	0	461	13299	2332	400	8700	-1500	0	0	0	0	-300	0	5	221	0	0	882	882	-1	0	0
883	1	460	77136	3499	1500	9000	0	0	0	0	0	-2500	0	3	214	0	0	883	883	-1	0	0
884	1	459	77136	3499	1500	8500	2000	0	0	0	-1000	0	0	1	210	1344	5800	884	884	-1	0	0
885	0	459	14086	2471	400	8500	-1500	0	0	0	0	0	0	1	210	0	0	885	885	-1	0	0
886	0	460	14086	2471	400	8700	-1500	0	0	0	0	-300	0	3	214	0	0	886	886	-1	0	0
887	0	461	14086	2471	400	8700	-1500	0	0	0	0	-300	0	5	221	0	0	887	887	-1	0	0
888	0	459	63829	1890	400	8500	1500	0	0	0	-500	0	0	1	210	0	0	888	888	-1	0	0
889	1	453	75128	6671	1500	8500	0	0	0	0	0	0	0	4	217	1368	5900	889	889	-1	0	0
890	0	459	14145	2481	400	8500	-1500	0	0	0	0	0	0	1	210	0	0	890	890	-1	0	0
891	0	460	14145	2481	400	8700	-1500	0	0	0	0	-300	0	3	214	0	0	891	891	-1	0	0
892	0	461	14145	2481	400	8700	-1500	0	0	0	0	-300	0	5	221	0	0	892	892	-1	0	0
893	1	461	82040	3722	1500	8500	0	0	0	0	0	-2500	0	5	221	0	0	893	893	-1	0	0
894	1	461	82040	3722	1500	8500	0	0	0	0	0	-2500	0	5	221	1368	5900	894	894	-1	0	0
895	0	459	14204	2492	400	8500	-1500	0	0	0	0	0	0	1	210	0	0	895	895	-1	0	0
896	0	460	14204	2492	400	8700	-1500	0	0	0	0	-300	0	3	214	0	0	896	896	-1	0	0
897	0	461	14204	2492	400	8700	-1500	0	0	0	0	-300	0	5	221	0	0	897	897	-1	0	0
898	0	460	10297	6709	400	9300	-200	0	0	0	0	-1500	0	3	214	0	0	898	898	-1	0	0
899	1	455	94689	5607	1500	8500	-1000	0	0	0	-5000	0	0	1	218	1368	5900	899	899	-1	0	0
900	0	459	14263	2502	400	8500	-1500	0	0	0	0	0	0	1	210	0	0	900	900	-1	0	0
901	0	460	14263	2502	400	8700	-1500	0	0	0	0	-300	0	3	214	0	0	901	901	-1	0	0
902	0	461	14263	2502	400	8700	-1500	0	0	0	0	-300	0	5	221	0	0	902	902	-1	0	0
903	1	460	82724	3753	1500	9000	0	0	0	0	0	-2500	0	3	214	0	0	903	903	-1	0	0
904	1	460	82724	3753	1500	9000	0	0	0	0	0	-2500	0	3	214	1368	5900	904	904	-1	0	0
905	0	459	15046	2639	400	8500	-1500	0	0	0	0	0	0	1	210	0	0	905	905	-1	0	0
906	0	460	15046	2639	400	8700	-1500	0	0	0	0	-300	0	3	214	0	0	906	906	-1	0	0
907	0	461	15046	2639	400	8700	-1500	0	0	0	0	-300	0	5	221	0	0	907	907	-1	0	0
908	0	461	68179	2018	400	8500	-200	0	0	0	0	-1500	0	5	221	0	0	908	908	-1	0	0
909	1	457	80240	7126	1500	8500	0	0	0	0	0	0	0	4	217	1392	6000	909	5014	-1	0	0
910	0	466	15106	2649	400	8500	-1500	0	0	0	0	0	0	1	210	0	0	910	910	-1	0	0
911	0	467	15106	2649	400	8500	-1500	0	0	0	-1000	0	0	1	211	0	0	911	911	-1	0	0
912	0	466	15106	2649	400	8500	-1500	0	0	0	0	0	0	1	210	0	0	912	912	-1	0	0
913	1	466	87613	3974	1500	8500	2000	0	0	0	-1000	0	0	1	210	0	0	913	913	-1	0	0
914	1	466	87613	3974	1500	8500	2000	0	0	0	-1000	0	0	1	210	1392	6000	914	914	-1	0	0
915	0	466	16006	2808	400	8500	-1500	0	0	0	0	0	0	1	210	0	0	915	915	-1	0	0
916	0	467	16006	2808	400	8500	-1500	0	0	0	-1000	0	0	1	211	0	0	916	916	-1	0	0
917	0	466	16006	2808	400	8500	-1500	0	0	0	0	0	0	1	210	0	0	917	917	-1	0	0
918	0	467	11604	7561	400	8500	-1000	0	0	0	-4000	0	0	1	211	0	0	918	918	-1	0	0
919	1	462	106704	6318	1500	8500	-1000	0	0	0	0	-5000	0	1	212	1416	6100	919	919	-1	0	0
920	0	466	16070	2819	400	8500	-1500	0	0	0	0	0	0	1	210	0	0	920	920	-1	0	0
921	0	467	16070	2819	400	8500	-1500	0	0	0	-1000	0	0	1	211	0	0	921	921	-1	0	0
922	0	467	16070	2819	400	8500	-1500	0	0	0	-1000	0	0	1	211	0	0	922	922	-1	0	0
923	1	467	93204	4229	1500	8500	-1000	0	0	0	-4500	0	0	1	211	0	0	923	923	-1	0	0
924	1	467	93204	4229	1500	8500	-1000	0	0	0	-4500	0	0	1	211	1416	6100	924	924	-1	0	0
925	0	466	16966	2976	400	8500	-1500	0	0	0	0	0	0	1	210	0	0	925	925	-1	0	0
926	0	467	16966	2976	400	8500	-1500	0	0	0	-1000	0	0	1	211	0	0	926	926	-1	0	0
927	0	466	16966	2976	400	8500	-1500	0	0	0	0	0	0	1	210	0	0	927	927	-1	0	0
928	0	467	76875	2277	400	8500	-1000	0	0	0	-4000	0	0	1	211	0	0	928	928	-1	0	0
929	1	464	90480	8035	1500	8500	1000	0	0	0	0	-4000	0	1	302	1440	6200	929	5015	-1	0	0
930	0	474	17030	2987	400	8500	-1500	0	0	0	-1000	0	0	1	211	0	0	930	930	-1	0	0
931	0	475	17030	2987	400	8500	-1500	0	0	0	0	0	0	1	210	0	0	931	931	-1	0	0
932	0	475	17030	2987	400	8500	-1500	0	0	0	0	0	0	1	210	0	0	932	932	-1	0	0
933	1	475	98774	4481	1500	8500	2000	0	0	0	-1000	0	0	1	210	0	0	933	933	-1	0	0
934	1	475	98774	4481	1500	8500	2000	0	0	0	-1000	0	0	1	210	1440	6200	934	934	-1	0	0
935	0	474	17926	3144	400	8500	-1500	0	0	0	-1000	0	0	1	211	0	0	935	935	-1	0	0
936	0	475	17926	3144	400	8500	-1500	0	0	0	0	0	0	1	210	0	0	936	936	-1	0	0
937	0	474	17926	3144	400	8500	-1500	0	0	0	-1000	0	0	1	211	0	0	937	937	-1	0	0
938	0	475	12996	8468	400	8500	1500	0	0	0	-500	0	0	1	210	0	0	938	938	-1	0	0
939	1	468	119504	7076	1500	10000	-300	0	0	0	0	-3500	0	3	214	1464	6300	939	939	-1	0	0
940	0	474	17994	3156	400	8500	-1500	0	0	0	-1000	0	0	1	211	0	0	940	940	-1	0	0
941	0	475	17994	3156	400	8500	-1500	0	0	0	0	0	0	1	210	0	0	941	941	-1	0	0
942	0	474	17994	3156	400	8500	-1500	0	0	0	-1000	0	0	1	211	0	0	942	942	-1	0	0
943	1	474	104363	4734	1500	8500	-1000	0	0	0	-4500	0	0	1	211	0	0	943	943	-1	0	0
944	1	474	104363	4734	1500	8500	-1000	0	0	0	-4500	0	0	1	211	1464	6300	944	944	-1	0	0
945	0	474	18885	3313	400	8500	-1500	0	0	0	-1000	0	0	1	211	0	0	945	945	-1	0	0
946	0	475	18885	3313	400	8500	-1500	0	0	0	0	0	0	1	210	0	0	946	946	-1	0	0
947	0	474	18885	3313	400	8500	-1500	0	0	0	-1000	0	0	1	211	0	0	947	947	-1	0	0
948	0	475	85575	2534	400	8500	1500	0	0	0	-500	0	0	1	210	0	0	948	948	-1	0	0
949	1	470	100720	8944	1500	8500	-300	0	0	0	0	-3500	0	5	221	1488	6400	949	949	-1	0	0
950	0	475	18953	3325	400	8500	-1500	0	0	0	0	0	0	1	210	0	0	950	950	-1	0	0
951	0	474	18953	3325	400	8500	-1500	0	0	0	-1000	0	0	1	211	0	0	951	951	-1	0	0
952	0	475	18953	3325	400	8500	-1500	0	0	0	0	0	0	1	210	0	0	952	952	-1	0	0
953	1	475	109926	4987	1500	8500	2000	0	0	0	-1000	0	0	1	210	0	0	953	953	-1	0	0
954	1	474	109926	4987	1500	8500	-1000	0	0	0	-4500	0	0	1	211	1488	6400	954	954	-1	0	0
955	0	474	19845	3481	400	8500	-1500	0	0	0	-1000	0	0	1	211	0	0	955	955	-1	0	0
956	0	475	19845	3481	400	8500	-1500	0	0	0	0	0	0	1	210	0	0	956	956	-1	0	0
957	0	474	19845	3481	400	8500	-1500	0	0	0	-1000	0	0	1	211	0	0	957	957	-1	0	0
958	0	475	14388	9375	400	8500	1500	0	0	0	-500	0	0	1	210	0	0	958	958	-1	0	0
959	1	472	132304	7834	1500	13500	1000	0	0	0	-3000	0	0	2	220	1512	6500	959	5016	-1	0	0
960	0	484	19916	3493	400	8700	-1500	0	0	0	0	-300	0	4	229	0	0	960	960	-1	0	0
961	0	485	19916	3493	400	8500	-1500	0	0	0	0	-300	0	1	305	0	0	961	961	-1	0	0
962	0	486	19916	3493	400	8700	-1500	0	0	0	0	-300	0	5	221	0	0	962	962	-1	0	0
963	1	484	115514	5240	1500	9000	0	0	0	0	0	-2500	0	4	229	0	0	963	963	-1	0	0
964	1	484	115514	5240	1500	9000	0	0	0	0	0	-2500	0	4	229	1512	6500	964	964	-1	0	0
965	0	484	20805	3650	400	8700	-1500	0	0	0	0	-300	0	4	229	0	0	965	965	-1	0	0
966	0	485	20805	3650	400	8500	-1500	0	0	0	0	-300	0	1	305	0	0	966	966	-1	0	0
967	0	486	20805	3650	400	8700	-1500	0	0	0	0	-300	0	5	221	0	0	967	967	-1	0	0
968	0	485	94275	2792	400	8500	-200	0	0	0	0	-1500	0	1	305	0	0	968	968	-1	0	0
969	1	476	110960	9855	1500	10000	-300	0	0	0	0	-3500	0	4	229	1536	6600	969	969	-1	0	0
970	0	484	20876	3662	400	8700	-1500	0	0	0	0	-300	0	4	229	0	0	970	970	-1	0	0
971	0	485	20876	3662	400	8500	-1500	0	0	0	0	-300	0	1	305	0	0	971	971	-1	0	0
972	0	486	20876	3662	400	8700	-1500	0	0	0	0	-300	0	5	221	0	0	972	972	-1	0	0
973	1	486	121080	5494	1500	8500	0	0	0	0	0	-2500	0	5	221	0	0	973	973	-1	0	0
974	1	486	121080	5494	1500	8500	0	0	0	0	0	-2500	0	5	221	1536	6600	974	974	-1	0	0
975	0	484	21765	3818	400	8700	-1500	0	0	0	0	-300	0	4	229	0	0	975	975	-1	0	0
976	0	485	21765	3818	400	8500	-1500	0	0	0	0	-300	0	1	305	0	0	976	976	-1	0	0
977	0	486	21765	3818	400	8700	-1500	0	0	0	0	-300	0	5	221	0	0	977	977	-1	0	0
978	0	484	15780	10282	400	9300	-200	0	0	0	0	-1500	0	4	229	0	0	978	978	-1	0	0
