##主动技能表															
##第一列“队长技能编号”必须是从0开始线性增长															
##[SC]技能编号	[SC]技能类型	[C]技能名称	[C]技能描述	[C]技能特效	等级上限	循环回合数	施放回合数	技能目标	[SC]目标范围	攻击类型	基础修正基数	升级修正系数	升级几率	效果类型	效果参数
##index(0)															
int	int	string	string	int	int	int	string	int	int	int	int	int	int	int	int
292	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
293	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
294	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
295	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
296	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
297	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
298	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
299	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
300	1	圣光术	恢复1名队友中量生命	15	6	4	2	0	1	3	196	15	10	-1	0
301	1	强效治疗	恢复1名队友中量生命	4	6	4	2	0	1	3	196	15	10	-1	0
302	1	治疗链	恢复3名队友少量生命	4	6	4	2	0	6	3	.	7	10	-1	0
303	1	回春术	恢复1名队友中量生命	4	6	4	2	0	1	3	196	15	10	-1	0
304	1	圣光普照	恢复3名队友少量生命	16	6	4	2	0	6	3	24	7	10	-1	0
305	1	治疗祷言	恢复全体队友微量生命	11	6	4	2	0	2	3	-4	5	10	-1	0
306	1	复活术	复活队友并回复部分生命，每场战斗限1次	15	6	4	2	0	1	3	20	5	10	-1	0
307	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
308	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
309	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
310	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
311	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
312	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
313	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
314	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
315	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
316	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
317	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
318	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
319	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
320	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
321	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
322	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
323	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
324	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
325	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
326	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
327	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
328	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
329	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
330	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
331	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
332	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
333	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
334	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
335	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
336	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
337	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
338	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
339	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
340	1	高级圣光术	恢复1名队友中量生命	15	6	3	2	0	1	3	255	18	17	-1	0
341	1	高级强效治疗	恢复1名队友中量生命	4	6	3	2	0	1	3	255	18	17	-1	0
342	1	高级治疗链	恢复3名队友少量生命	4	6	3	2	0	6	3	48	8	17	-1	0
343	1	高级回春术	恢复1名队友中量生命	4	6	3	2	0	1	3	255	18	17	-1	0
344	1	高级圣光普照	恢复3名队友少量生命	16	6	3	2	0	6	3	48	8	17	-1	0
345	1	高级治疗祷言	恢复全体队友微量生命	11	6	3	2	0	2	3	15	6	17	-1	0
346	1	高级复活术	复活队友并回复大量生命，每场战斗1限次	15	6	3	2	0	1	3	44	6	17	-1	0
