##任务表									
##[SC]任务ID	[C]任务名称	[C]条件1描述	[C]奖励图标	[C]品质框	[SC]前置任务ID	[SC]奖励类型	[SC]奖励参数	[S]条件1类型	[S]条件1参数
##index(0)									
int	string	string	string	string	int	int	int	int	int
250	累计登录奖励88888金币	累计登录42天	icon_bigcoin.png	littlecard_frame_class4.png	249	1	88888	5	42
251	累计登录奖励88888金币	累计登录43天	icon_bigcoin.png	littlecard_frame_class4.png	250	1	88888	5	43
252	累计登录奖励88888金币	累计登录44天	icon_bigcoin.png	littlecard_frame_class4.png	251	1	88888	5	44
253	累计登录奖励88888金币	累计登录45天	icon_bigcoin.png	littlecard_frame_class4.png	252	1	88888	5	45
254	累计登录奖励88888金币	累计登录46天	icon_bigcoin.png	littlecard_frame_class4.png	253	1	88888	5	46
255	累计登录奖励88888金币	累计登录47天	icon_bigcoin.png	littlecard_frame_class4.png	254	1	88888	5	47
256	累计登录奖励88888金币	累计登录48天	icon_bigcoin.png	littlecard_frame_class4.png	255	1	88888	5	48
257	累计登录奖励88888金币	累计登录49天	icon_bigcoin.png	littlecard_frame_class4.png	256	1	88888	5	49
258	累计登录奖励88888金币	累计登录50天	icon_bigcoin.png	littlecard_frame_class4.png	257	1	88888	5	50
259	累计登录奖励88888金币	累计登录51天	icon_bigcoin.png	littlecard_frame_class4.png	258	1	88888	5	51
260	累计登录奖励88888金币	累计登录52天	icon_bigcoin.png	littlecard_frame_class4.png	259	1	88888	5	52
261	累计登录奖励88888金币	累计登录53天	icon_bigcoin.png	littlecard_frame_class4.png	260	1	88888	5	53
262	累计登录奖励88888金币	累计登录54天	icon_bigcoin.png	littlecard_frame_class4.png	261	1	88888	5	54
263	累计登录奖励88888金币	累计登录55天	icon_bigcoin.png	littlecard_frame_class4.png	262	1	88888	5	55
264	累计登录奖励88888金币	累计登录56天	icon_bigcoin.png	littlecard_frame_class4.png	263	1	88888	5	56
265	累计登录奖励88888金币	累计登录57天	icon_bigcoin.png	littlecard_frame_class4.png	264	1	88888	5	57
266	累计登录奖励88888金币	累计登录58天	icon_bigcoin.png	littlecard_frame_class4.png	265	1	88888	5	58
267	累计登录奖励88888金币	累计登录59天	icon_bigcoin.png	littlecard_frame_class4.png	266	1	88888	5	59
268	累计登录奖励88888金币	累计登录60天	icon_bigcoin.png	littlecard_frame_class4.png	267	1	88888	5	60
269	累计登录奖励88888金币	累计登录61天	icon_bigcoin.png	littlecard_frame_class4.png	268	1	88888	5	61
270	累计登录奖励88888金币	累计登录62天	icon_bigcoin.png	littlecard_frame_class4.png	269	1	88888	5	62
271	累计登录奖励88888金币	累计登录63天	icon_bigcoin.png	littlecard_frame_class4.png	270	1	88888	5	63
272	累计登录奖励88888金币	累计登录64天	icon_bigcoin.png	littlecard_frame_class4.png	271	1	88888	5	64
273	累计登录奖励88888金币	累计登录65天	icon_bigcoin.png	littlecard_frame_class4.png	272	1	88888	5	65
274	累计登录奖励88888金币	累计登录66天	icon_bigcoin.png	littlecard_frame_class4.png	273	1	88888	5	66
275	累计登录奖励88888金币	累计登录67天	icon_bigcoin.png	littlecard_frame_class4.png	274	1	88888	5	67
276	累计登录奖励88888金币	累计登录68天	icon_bigcoin.png	littlecard_frame_class4.png	275	1	88888	5	68
277	累计登录奖励88888金币	累计登录69天	icon_bigcoin.png	littlecard_frame_class4.png	276	1	88888	5	69
278	累计登录奖励88888金币	累计登录70天	icon_bigcoin.png	littlecard_frame_class4.png	277	1	88888	5	70
279	累计登录奖励88888金币	累计登录71天	icon_bigcoin.png	littlecard_frame_class4.png	278	1	88888	5	71
280	累计登录奖励88888金币	累计登录72天	icon_bigcoin.png	littlecard_frame_class4.png	279	1	88888	5	72
281	累计登录奖励88888金币	累计登录73天	icon_bigcoin.png	littlecard_frame_class4.png	280	1	88888	5	73
282	累计登录奖励88888金币	累计登录74天	icon_bigcoin.png	littlecard_frame_class4.png	281	1	88888	5	74
283	累计登录奖励88888金币	累计登录75天	icon_bigcoin.png	littlecard_frame_class4.png	282	1	88888	5	75
284	累计登录奖励88888金币	累计登录76天	icon_bigcoin.png	littlecard_frame_class4.png	283	1	88888	5	76
285	累计登录奖励88888金币	累计登录77天	icon_bigcoin.png	littlecard_frame_class4.png	284	1	88888	5	77
286	累计登录奖励88888金币	累计登录78天	icon_bigcoin.png	littlecard_frame_class4.png	285	1	88888	5	78
287	累计登录奖励88888金币	累计登录79天	icon_bigcoin.png	littlecard_frame_class4.png	286	1	88888	5	79
288	累计登录奖励88888金币	累计登录80天	icon_bigcoin.png	littlecard_frame_class4.png	287	1	88888	5	80
289	累计登录奖励88888金币	累计登录81天	icon_bigcoin.png	littlecard_frame_class4.png	288	1	88888	5	81
290	累计登录奖励88888金币	累计登录82天	icon_bigcoin.png	littlecard_frame_class4.png	289	1	88888	5	82
291	累计登录奖励88888金币	累计登录83天	icon_bigcoin.png	littlecard_frame_class4.png	290	1	88888	5	83
292	累计登录奖励88888金币	累计登录84天	icon_bigcoin.png	littlecard_frame_class4.png	291	1	88888	5	84
293	累计登录奖励88888金币	累计登录85天	icon_bigcoin.png	littlecard_frame_class4.png	292	1	88888	5	85
294	累计登录奖励88888金币	累计登录86天	icon_bigcoin.png	littlecard_frame_class4.png	293	1	88888	5	86
295	累计登录奖励88888金币	累计登录87天	icon_bigcoin.png	littlecard_frame_class4.png	294	1	88888	5	87
296	累计登录奖励88888金币	累计登录88天	icon_bigcoin.png	littlecard_frame_class4.png	295	1	88888	5	88
297	累计登录奖励88888金币	累计登录89天	icon_bigcoin.png	littlecard_frame_class4.png	296	1	88888	5	89
298	累计登录奖励88888金币	累计登录90天	icon_bigcoin.png	littlecard_frame_class4.png	297	1	88888	5	90
299	累计登录奖励88888金币	累计登录91天	icon_bigcoin.png	littlecard_frame_class4.png	298	1	88888	5	91
300	累计登录奖励88888金币	累计登录92天	icon_bigcoin.png	littlecard_frame_class4.png	299	1	88888	5	92
301	累计登录奖励88888金币	累计登录93天	icon_bigcoin.png	littlecard_frame_class4.png	300	1	88888	5	93
302	累计登录奖励88888金币	累计登录94天	icon_bigcoin.png	littlecard_frame_class4.png	301	1	88888	5	94
303	累计登录奖励88888金币	累计登录95天	icon_bigcoin.png	littlecard_frame_class4.png	302	1	88888	5	95
304	累计登录奖励88888金币	累计登录96天	icon_bigcoin.png	littlecard_frame_class4.png	303	1	88888	5	96
305	累计登录奖励88888金币	累计登录97天	icon_bigcoin.png	littlecard_frame_class4.png	304	1	88888	5	97
306	累计登录奖励88888金币	累计登录98天	icon_bigcoin.png	littlecard_frame_class4.png	305	1	88888	5	98
307	累计登录奖励88888金币	累计登录99天	icon_bigcoin.png	littlecard_frame_class4.png	306	1	88888	5	99
308	累计登录奖励88888金币	累计登录100天	icon_bigcoin.png	littlecard_frame_class4.png	307	1	88888	5	100
309	充值奖励5★大大姐	购买20000符石	littlecard_0413.png	littlecard_frame_class4.png	30	3	415	1	20000
310	充值奖励5★大大姐	购买30000符石	littlecard_0413.png	littlecard_frame_class4.png	309	3	415	1	30000
311	充值奖励5★大大姐	购买40000符石	littlecard_0413.png	littlecard_frame_class4.png	310	3	415	1	40000
312	充值奖励5★大大姐	购买50000符石	littlecard_0413.png	littlecard_frame_class4.png	311	3	415	1	50000
313	充值奖励5★大大姐	购买60000符石	littlecard_0413.png	littlecard_frame_class4.png	312	3	415	1	60000
314	升级奖励475000金币	等级提升至105级	icon_bigcoin.png	littlecard_frame_class4.png	22	1	475000	3	105
315	升级奖励500000金币	等级提升至110级	icon_bigcoin.png	littlecard_frame_class4.png	314	1	500000	3	110
316	升级奖励525000金币	等级提升至115级	icon_bigcoin.png	littlecard_frame_class4.png	315	1	525000	3	115
317	升级奖励550000金币	等级提升至120级	icon_bigcoin.png	littlecard_frame_class4.png	316	1	550000	3	120
318	升级奖励575000金币	等级提升至125级	icon_bigcoin.png	littlecard_frame_class4.png	317	1	575000	3	125
319	升级奖励600000金币	等级提升至130级	icon_bigcoin.png	littlecard_frame_class4.png	318	1	600000	3	130
320	升级奖励625000金币	等级提升至135级	icon_bigcoin.png	littlecard_frame_class4.png	319	1	625000	3	135
321	升级奖励650000金币	等级提升至140级	icon_bigcoin.png	littlecard_frame_class4.png	320	1	650000	3	140
322	升级奖励675000金币	等级提升至145级	icon_bigcoin.png	littlecard_frame_class4.png	321	1	675000	3	145
323	升级奖励700000金币	等级提升至150级	icon_bigcoin.png	littlecard_frame_class4.png	322	1	700000	3	150
324	升级奖励725000金币	等级提升至155级	icon_bigcoin.png	littlecard_frame_class4.png	323	1	725000	3	155
325	升级奖励750000金币	等级提升至160级	icon_bigcoin.png	littlecard_frame_class4.png	324	1	750000	3	160
326	升级奖励775000金币	等级提升至165级	icon_bigcoin.png	littlecard_frame_class4.png	325	1	775000	3	165
327	升级奖励800000金币	等级提升至170级	icon_bigcoin.png	littlecard_frame_class4.png	326	1	800000	3	170
328	升级奖励825000金币	等级提升至175级	icon_bigcoin.png	littlecard_frame_class4.png	327	1	825000	3	175
329	升级奖励850000金币	等级提升至180级	icon_bigcoin.png	littlecard_frame_class4.png	328	1	850000	3	180
330	升级奖励875000金币	等级提升至185级	icon_bigcoin.png	littlecard_frame_class4.png	329	1	875000	3	185
331	升级奖励900000金币	等级提升至190级	icon_bigcoin.png	littlecard_frame_class4.png	330	1	900000	3	190
332	升级奖励925000金币	等级提升至195级	icon_bigcoin.png	littlecard_frame_class4.png	331	1	925000	3	195
333	升级奖励1000000金币	等级提升至200级	icon_bigcoin.png	littlecard_frame_class4.png	332	1	1000000	3	200
334	普通副本通关奖励50符石	通关迷宫	icon_diamond1.png	littlecard_frame_class5.png	46	0	50	6	160
335	普通副本通关奖励50符石	通关地穴	icon_diamond1.png	littlecard_frame_class5.png	334	0	50	6	170
336	普通副本通关奖励50符石	通关城墙	icon_diamond1.png	littlecard_frame_class5.png	335	0	50	6	180
337	普通副本通关奖励50符石	通关陵墓	icon_diamond1.png	littlecard_frame_class5.png	336	0	50	6	190
338	精英副本通关奖励60符石	通关精英迷宫	icon_diamond1.png	littlecard_frame_class5.png	62	0	60	6	161
339	精英副本通关奖励60符石	通关精英地穴	icon_diamond1.png	littlecard_frame_class5.png	338	0	60	6	171
340	精英副本通关奖励60符石	通关精英城墙	icon_diamond1.png	littlecard_frame_class5.png	339	0	60	6	181
341	精英副本通关奖励60符石	通关精英陵墓	icon_diamond1.png	littlecard_frame_class5.png	340	0	60	6	191
342	60级奖励5★大使	等级提升至60级	littlecard_0247.png	littlecard_frame_class4.png	0	3	247	3	60
343	70级奖励5★大使	等级提升至70级	littlecard_0247.png	littlecard_frame_class4.png	342	3	247	3	70
344	80级奖励5★大使	等级提升至80级	littlecard_0247.png	littlecard_frame_class4.png	343	3	247	3	80
